ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_REC,BILL_AVG,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default
1,20000.0,2,2,1,24,2,2,-1,-1,-2,-2,3913.0,1284.0,0.0,689.0,0.0,0.0,0.0,0.0,1
2,120000.0,2,2,2,26,-1,2,0,0,0,2,2682.0,2846.1666666666665,0.0,1000.0,1000.0,1000.0,0.0,2000.0,1
3,90000.0,2,2,2,34,0,0,0,0,0,0,29239.0,16942.166666666668,1518.0,1500.0,1000.0,1000.0,1000.0,5000.0,0
4,50000.0,2,2,1,37,0,0,0,0,0,0,46990.0,38555.666666666664,2000.0,2019.0,1200.0,1100.0,1069.0,1000.0,0
5,50000.0,1,2,1,57,-1,0,-1,0,0,0,8617.0,18223.166666666668,2000.0,36681.0,10000.0,9000.0,689.0,679.0,0
6,50000.0,1,1,2,37,0,0,0,0,0,0,64400.0,39685.666666666664,2500.0,1815.0,657.0,1000.0,1000.0,800.0,0
7,500000.0,1,1,2,29,0,0,0,0,0,0,367965.0,454099.1666666667,55000.0,40000.0,38000.0,20239.0,13750.0,13770.0,0
8,100000.0,2,2,2,23,0,-1,-1,0,0,-1,11876.0,2247.6666666666665,380.0,601.0,0.0,581.0,1687.0,1542.0,0
9,140000.0,2,3,1,28,0,0,2,0,0,0,11285.0,10868.666666666666,3329.0,0.0,432.0,1000.0,1000.0,1000.0,0
10,20000.0,1,3,2,35,-2,-2,-2,-2,-1,-1,0.0,4486.5,0.0,0.0,0.0,13007.0,1122.0,0.0,0
11,200000.0,2,3,2,34,0,0,2,0,0,-1,11073.0,5744.5,2306.0,12.0,50.0,300.0,3738.0,66.0,0
12,260000.0,2,1,2,51,-1,-1,-1,-1,-1,2,12261.0,14728.166666666666,21818.0,9966.0,8583.0,22301.0,0.0,3640.0,0
13,630000.0,2,2,2,41,-1,0,-1,-1,-1,-1,12137.0,6834.5,1000.0,6500.0,6500.0,6500.0,2870.0,0.0,0
14,70000.0,1,2,2,30,1,2,2,0,0,2,65802.0,56447.5,3200.0,0.0,3000.0,3000.0,1500.0,0.0,1
15,250000.0,1,1,2,29,0,0,0,0,0,0,70887.0,62265.166666666664,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0
16,50000.0,2,3,3,23,1,2,0,0,0,0,50614.0,32736.0,0.0,1500.0,1100.0,1200.0,1300.0,1100.0,0
17,20000.0,1,1,2,24,0,0,2,2,2,2,15376.0,17693.5,3200.0,0.0,1500.0,0.0,1650.0,0.0,1
18,320000.0,1,1,1,49,0,0,0,-1,-1,-1,253286.0,161002.33333333334,10358.0,10000.0,75940.0,20000.0,195599.0,50000.0,0
19,360000.0,2,1,1,49,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20,180000.0,2,1,2,29,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
21,130000.0,2,3,2,39,0,0,0,0,0,-1,38358.0,20647.166666666668,3000.0,1537.0,1000.0,2000.0,930.0,33764.0,0
22,120000.0,2,2,1,39,-1,-1,-1,-1,-1,-1,316.0,316.0,316.0,316.0,0.0,632.0,316.0,0.0,1
23,70000.0,2,2,2,26,2,0,0,2,2,2,41087.0,44245.833333333336,2007.0,3582.0,0.0,3601.0,0.0,1820.0,1
24,450000.0,2,1,1,40,-2,-2,-2,-2,-2,-2,5512.0,4494.166666666667,19428.0,1473.0,560.0,0.0,0.0,1128.0,1
25,90000.0,1,1,2,23,0,0,0,-1,0,0,4744.0,5310.666666666667,5757.0,0.0,5398.0,1200.0,2045.0,2000.0,0
26,50000.0,1,3,2,23,0,0,0,0,0,0,47620.0,35715.833333333336,1973.0,1426.0,1001.0,1432.0,1062.0,997.0,0
27,60000.0,1,1,2,27,1,-2,-1,-1,-1,-1,-109.0,-65.66666666666667,0.0,1000.0,0.0,500.0,0.0,1000.0,1
28,50000.0,2,3,2,30,0,0,0,0,0,0,22541.0,18711.333333333332,1300.0,1300.0,1000.0,1500.0,1000.0,1012.0,0
29,50000.0,2,3,1,47,-1,-1,-1,-1,-1,-1,650.0,6701.333333333333,3415.0,3421.0,2044.0,30430.0,257.0,0.0,0
30,50000.0,1,1,2,26,0,0,0,0,0,0,15329.0,16180.333333333334,1500.0,1500.0,1000.0,1000.0,1600.0,0.0,0
31,230000.0,2,1,2,27,-1,-1,-1,-1,-1,-1,16646.0,18957.666666666668,17270.0,13281.0,15339.0,14307.0,37292.0,0.0,0
32,50000.0,1,2,2,33,2,0,0,0,0,0,30518.0,25311.5,1718.0,1500.0,1000.0,1000.0,1000.0,716.0,1
33,100000.0,1,1,2,32,0,0,0,0,0,0,93036.0,82539.5,3023.0,3511.0,3302.0,3204.0,3200.0,2504.0,0
34,500000.0,2,2,1,54,-2,-2,-2,-2,-2,-2,10929.0,20957.333333333332,4152.0,22827.0,7521.0,71439.0,981.0,51582.0,0
35,500000.0,1,1,1,58,-2,-2,-2,-2,-2,-2,13709.0,9719.666666666666,5006.0,31178.0,3180.0,0.0,5293.0,768.0,0
36,160000.0,1,1,2,30,-1,-1,-2,-2,-2,-1,30265.0,4218.666666666667,131.0,396.0,396.0,565.0,792.0,0.0,0
37,280000.0,1,2,1,40,0,0,0,0,0,0,186503.0,178329.5,8026.0,8060.0,6300.0,6400.0,6400.0,6737.0,0
38,60000.0,2,2,2,22,0,0,0,0,0,-1,15054.0,5379.833333333333,1500.0,1518.0,2043.0,0.0,47671.0,617.0,0
39,50000.0,1,1,2,25,1,-1,-1,-2,-2,-2,0.0,130.0,780.0,0.0,0.0,0.0,0.0,0.0,1
40,280000.0,1,1,2,31,-1,-1,2,-1,0,-1,498.0,8607.166666666666,9075.0,0.0,9976.0,8000.0,9525.0,781.0,0
41,360000.0,1,1,2,33,0,0,0,0,0,0,218668.0,275125.1666666667,10000.0,7000.0,6000.0,188840.0,28000.0,4000.0,0
42,70000.0,2,1,2,25,0,0,0,0,0,0,67521.0,65476.0,3000.0,4500.0,4042.0,2500.0,2800.0,2500.0,0
43,10000.0,1,2,2,22,0,0,0,0,0,0,1877.0,3793.5,1500.0,2927.0,1000.0,300.0,1000.0,500.0,0
44,140000.0,2,2,1,37,0,0,0,0,0,0,59504.0,64189.0,3000.0,3000.0,3000.0,4000.0,4000.0,3000.0,0
45,40000.0,2,1,2,30,0,0,0,2,0,0,18927.0,24530.833333333332,3000.0,5000.0,0.0,2000.0,3000.0,0.0,0
46,210000.0,1,1,2,29,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
47,20000.0,2,1,2,22,0,0,2,-1,0,0,14028.0,13221.333333333334,3000.0,0.0,16741.0,334.0,0.0,0.0,1
48,150000.0,2,5,2,46,0,0,-1,0,0,-2,4463.0,1639.5,1013.0,1170.0,0.0,0.0,0.0,0.0,1
49,380000.0,1,2,2,32,-1,-1,-1,-1,-1,-1,22401.0,19135.833333333332,21540.0,15138.0,24677.0,11851.0,11875.0,8251.0,0
50,20000.0,1,1,2,24,0,0,0,0,0,0,17447.0,19301.666666666668,1318.0,1315.0,704.0,928.0,912.0,1069.0,0
51,70000.0,1,3,2,42,1,2,2,2,2,0,37042.0,38168.666666666664,0.0,3100.0,2000.0,0.0,1500.0,1500.0,1
52,100000.0,2,3,3,43,0,0,0,0,0,0,61559.0,44197.5,2000.0,1606.0,1500.0,2000.0,1500.0,1000.0,0
53,310000.0,2,2,1,49,-2,-2,-2,-2,-2,-2,13465.0,7354.166666666667,7875.0,7600.0,11185.0,3544.0,464.0,0.0,0
54,180000.0,2,1,2,25,1,2,0,0,0,0,41402.0,43191.833333333336,1300.0,2010.0,1762.0,1762.0,1790.0,1622.0,0
55,150000.0,2,1,2,29,2,0,0,0,0,0,46224.0,29458.5,1600.0,1718.0,1049.0,1500.0,2000.0,5000.0,0
56,500000.0,2,1,1,45,-2,-2,-2,-2,-2,-2,1905.0,1398.0,3640.0,162.0,0.0,151.0,2530.0,0.0,0
57,180000.0,2,3,1,34,0,0,0,-1,-1,-1,16386.0,9234.0,8500.0,1500.0,7500.0,679.0,9000.0,2000.0,0
58,180000.0,2,2,1,34,0,0,0,0,0,0,175886.0,158727.0,8083.0,7296.0,5253.0,4814.0,4816.0,3800.0,0
59,200000.0,2,1,2,34,-1,3,2,2,2,2,1587.0,1124.5,0.0,0.0,700.0,0.0,1200.0,0.0,0
60,400000.0,2,2,1,29,0,0,0,0,0,0,400134.0,380690.0,17000.0,15029.0,30000.0,12000.0,12000.0,23000.0,0
61,500000.0,2,3,1,28,0,0,0,0,0,0,22848.0,18283.166666666668,1516.0,1300.0,1000.0,1000.0,2000.0,2000.0,1
62,70000.0,1,2,1,39,0,0,0,0,0,-1,70800.0,40707.0,4025.0,2095.0,1000.0,2000.0,3000.0,0.0,0
63,50000.0,1,1,2,29,2,2,2,2,2,2,24987.0,26279.0,0.0,2700.0,0.0,2225.0,1200.0,0.0,1
64,50000.0,2,2,1,46,0,0,0,-2,-2,-2,28718.0,9647.333333333334,1000.0,0.0,0.0,0.0,0.0,0.0,1
65,130000.0,2,2,1,51,-1,-1,-2,-2,-1,-1,99.0,408.6666666666667,0.0,0.0,0.0,2353.0,0.0,0.0,0
66,200000.0,1,1,1,57,-2,-2,-2,-1,2,2,152519.0,78272.66666666667,0.0,0.0,8222.0,300.0,0.0,1000.0,1
67,10000.0,1,2,1,56,2,2,2,0,0,0,2097.0,3808.6666666666665,2300.0,0.0,150.0,200.0,200.0,160.0,1
68,210000.0,2,1,2,30,2,-1,-1,-1,-1,-1,300.0,1431.5,300.0,1159.0,2280.0,300.0,4250.0,909.0,0
69,130000.0,2,3,2,29,1,-2,-2,-1,2,-1,-190.0,1316.8333333333333,0.0,0.0,20161.0,0.0,7319.0,13899.0,0
70,20000.0,1,5,2,22,2,0,0,0,0,0,18565.0,14721.0,0.0,1200.0,1000.0,500.0,1000.0,0.0,0
71,80000.0,1,1,2,31,-1,-1,-1,-1,-1,-1,780.0,390.0,0.0,390.0,390.0,390.0,390.0,390.0,0
72,320000.0,1,2,2,29,2,2,2,2,2,2,58267.0,60358.666666666664,2500.0,2500.0,0.0,4800.0,2400.0,1600.0,1
73,200000.0,2,2,1,32,-1,-1,-1,-1,2,-1,9076.0,4404.166666666667,5818.0,15.0,9102.0,17.0,3165.0,1395.0,0
74,290000.0,2,1,2,37,1,-2,-1,-1,-1,-1,0.0,919.0,0.0,3155.0,0.0,2359.0,0.0,0.0,0
75,340000.0,1,1,2,32,-1,-1,-1,-1,-1,-1,3048.0,23699.833333333332,5713.0,23453.0,4314.0,80552.0,25949.0,2016.0,0
76,20000.0,1,2,2,24,0,0,2,0,0,0,14619.0,16888.0,2850.0,0.0,610.0,630.0,1500.0,0.0,0
77,50000.0,1,3,2,25,-1,0,0,0,0,0,42838.0,24234.333333333332,1759.0,1779.0,320.0,500.0,1000.0,1000.0,0
78,300000.0,2,1,1,45,-1,-1,-1,-1,-1,-1,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,0
79,30000.0,2,2,2,22,0,0,0,0,0,0,28387.0,24864.333333333332,1686.0,1400.0,560.0,3000.0,1765.0,0.0,1
80,240000.0,2,2,2,44,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
